N,P,K,temperature,humidity,ph,rainfall,label,land_size,water_supply,preference_cereals,preference_vegetables,preference_fruits
38.36,53.82,18.55,29.39,63.48,5.76,20.43,Green Gram,1.584,0,0,1,0
34.29,61.89,22.79,30.27,67.39,4.7,7.3,Green Gram,0.698,0,0,1,0
33.25,55.75,24.1,35.46,68.76,5.27,10.79,Green Gram,0.346,1,0,1,0
17.42,54.44,16.51,33.8,40.03,7.45,160.86,Green Gram,1.815,1,0,1,0
33.07,65.01,17.96,28.69,49.47,5.83,56.88,Green Gram,1.528,0,0,1,0
15.07,77.79,20.16,31.24,56.67,7.34,140.07,Green Gram,0.428,1,0,1,0
28.42,64.94,15.53,28.98,57.23,6.35,124.84,Green Gram,0.849,1,0,1,0
42.34,56.96,20.34,27.32,34.14,4.7,6.73,Green Gram,1.926,0,0,1,0
18.43,56.37,16.01,21.48,38.8,4.96,46.19,Green Gram,1.623,1,0,1,0
3.11,71.09,16.88,18.32,34.7,4.96,2.87,Green Gram,1.516,1,0,1,0
23.99,71.29,23.1,36.98,37.74,5.64,8.31,Green Gram,0.31,0,0,1,0
16.74,63.8,19.1,24.8,40.12,5.61,2.03,Green Gram,1.494,0,0,1,0
23.66,63.24,17.41,19.35,55.97,4.68,59.09,Green Gram,0.33,0,0,1,0
9.84,76.9,25.97,28.88,50.12,5.71,61.89,Green Gram,1.031,1,0,1,0
16.32,57.24,19.31,19.54,47.19,6.41,53.74,Green Gram,1.983,1,0,1,0
27.33,72.39,22.13,24.77,50.55,6.01,3.03,Green Gram,1.065,0,0,1,0
15.26,74.64,23.55,18.33,38.41,4.95,122.45,Green Gram,1.717,0,0,1,0
25.21,65.01,22.63,19.15,45.37,5.52,69.12,Green Gram,1.217,0,0,1,0
41.08,78.51,19.59,28.23,49.44,5.9,8.97,Green Gram,0.504,1,0,1,0
8.74,71.56,21.81,30.12,34.13,5.72,13.13,Green Gram,1.239,0,0,1,0
32.77,59.56,18.53,33.41,35.43,4.55,128.27,Green Gram,0.323,0,0,1,0
0.92,74.5,19.32,24.19,46.69,6.67,16.07,Green Gram,1.094,0,0,1,0
6.09,72.55,18.58,26.89,41.7,4.75,1.78,Green Gram,1.716,1,0,1,0
25.44,68.45,23.05,31.33,57.97,4.95,63.71,Green Gram,0.944,1,0,1,0
25.48,65.73,18.3,33.31,67.08,5.27,186.55,Green Gram,1.274,0,0,1,0
27.98,71.31,23.38,23.45,46.49,7.11,124.92,Green Gram,0.802,0,0,1,0
36.12,66.44,21.03,34.54,39.04,5.62,46.2,Green Gram,0.403,0,0,1,0
17.98,75.24,17.87,19.5,34.51,5.63,2.49,Green Gram,0.543,1,0,1,0
25.83,68.04,22.51,28.77,37.58,4.67,5.28,Green Gram,1.917,0,0,1,0
15.54,66.44,17.11,30.98,32.25,7.16,13.21,Green Gram,1.288,1,0,1,0
13.38,73.74,20.21,18.4,36.83,6.62,13.51,Green Gram,0.593,0,0,1,0
37.86,57.99,14.77,35.09,30.99,5.0,48.22,Green Gram,0.389,1,0,1,0
5.58,61.66,14.95,34.93,30.4,6.35,7.44,Green Gram,0.738,1,0,1,0
8.6,59.82,16.72,29.51,35.72,6.22,37.94,Green Gram,0.773,1,0,1,0
1.99,64.53,19.72,34.52,47.53,5.92,50.65,Green Gram,0.992,0,0,1,0
1.08,74.56,16.3,28.43,52.1,6.01,2.74,Green Gram,0.371,1,0,1,0
16.56,69.15,20.62,18.42,34.81,4.68,4.18,Green Gram,0.463,1,0,1,0
24.0,68.89,26.68,31.08,47.2,7.08,36.28,Green Gram,1.84,0,0,1,0
29.22,73.26,21.91,20.89,46.25,6.21,3.4,Green Gram,0.576,1,0,1,0
27.07,56.98,20.91,30.91,52.8,7.05,173.23,Green Gram,0.742,0,0,1,0
5.29,67.36,24.52,27.93,66.45,4.72,67.48,Green Gram,0.435,1,0,1,0
34.94,67.55,24.84,35.95,36.53,6.42,37.39,Green Gram,1.917,1,0,1,0
1.02,59.91,21.0,19.54,56.93,4.8,28.03,Green Gram,1.323,1,0,1,0
23.24,78.28,20.4,19.64,32.32,4.61,1.74,Green Gram,1.778,0,0,1,0
17.57,70.42,17.99,31.22,56.47,5.61,8.78,Green Gram,1.029,1,0,1,0
4.59,51.42,18.28,33.51,45.71,7.32,1.64,Green Gram,1.787,0,0,1,0
5.16,58.85,26.28,24.81,45.01,5.02,6.1,Green Gram,1.775,0,0,1,0
35.22,69.92,18.42,36.21,31.95,5.62,15.44,Green Gram,1.111,0,0,1,0
12.61,72.13,19.02,30.5,35.49,5.39,51.67,Green Gram,1.978,1,0,1,0
6.15,65.96,21.43,26.02,49.95,5.91,6.08,Green Gram,1.474,1,0,1,0
15.6,82.62,24.08,31.48,35.64,6.57,15.61,Green Gram,0.338,1,0,1,0
25.49,60.86,20.84,33.15,32.46,4.81,9.9,Green Gram,1.955,1,0,1,0
33.68,75.52,23.37,23.5,51.29,4.76,39.62,Green Gram,1.047,1,0,1,0
21.85,83.56,23.64,34.87,38.84,5.18,105.15,Green Gram,0.235,1,0,1,0
35.09,72.22,26.68,28.09,44.93,4.9,167.23,Green Gram,1.086,1,0,1,0
14.03,68.55,25.73,24.55,57.34,6.44,31.46,Green Gram,1.03,0,0,1,0
34.02,85.16,19.99,33.65,48.41,7.07,71.23,Green Gram,0.713,1,0,1,0
7.16,72.87,19.11,20.56,60.55,6.66,77.7,Green Gram,0.903,0,0,1,0
31.6,83.54,26.94,19.96,59.33,5.98,8.34,Green Gram,1.25,1,0,1,0
31.2,56.62,21.73,28.88,62.49,5.46,56.06,Green Gram,0.764,0,0,1,0
18.89,73.25,15.84,36.04,43.61,4.76,26.22,Green Gram,0.366,1,0,1,0
18.33,53.47,25.07,23.67,47.29,7.34,4.12,Green Gram,0.571,1,0,1,0
3.17,54.5,17.15,25.75,40.72,4.82,93.82,Green Gram,0.958,1,0,1,0
4.55,72.97,18.84,31.09,66.69,6.24,139.21,Green Gram,1.873,0,0,1,0
4.74,71.06,21.84,18.73,61.33,5.0,1.6,Green Gram,1.401,1,0,1,0
38.54,71.28,22.1,29.5,63.47,5.56,3.19,Green Gram,1.271,1,0,1,0
8.63,55.16,22.02,20.44,39.37,4.75,8.68,Green Gram,1.188,1,0,1,0
20.41,71.59,16.47,36.0,56.01,7.31,16.54,Green Gram,1.834,1,0,1,0
32.7,52.41,23.18,31.47,35.39,5.66,7.52,Green Gram,1.312,1,0,1,0
0.0,68.49,20.88,36.3,56.03,4.67,4.23,Green Gram,0.442,1,0,1,0
21.67,67.32,14.2,29.49,67.11,6.47,48.08,Green Gram,0.407,0,0,1,0
11.95,61.0,18.5,30.58,34.76,5.38,36.41,Green Gram,1.632,0,0,1,0
24.33,72.72,20.6,24.69,59.97,5.86,27.32,Green Gram,0.762,1,0,1,0
31.12,68.08,25.88,23.17,36.68,6.96,7.24,Green Gram,1.57,1,0,1,0
4.57,72.87,21.07,19.04,33.11,6.12,38.0,Green Gram,0.635,1,0,1,0
37.51,52.42,19.38,29.32,45.93,6.42,33.76,Green Gram,0.519,1,0,1,0
21.7,66.13,15.92,34.65,54.32,4.83,12.33,Green Gram,1.968,0,0,1,0
17.89,53.62,22.16,22.0,56.31,6.99,24.47,Green Gram,0.996,0,0,1,0
40.08,75.7,22.53,23.0,60.24,4.6,3.87,Green Gram,0.271,1,0,1,0
11.94,70.46,20.44,30.56,35.29,6.98,169.32,Green Gram,1.086,0,0,1,0
26.51,66.98,25.3,31.46,48.18,7.06,76.92,Green Gram,1.131,1,0,1,0
24.08,59.05,20.92,25.95,40.58,5.17,2.64,Green Gram,1.711,0,0,1,0
24.64,54.53,15.41,21.01,69.69,5.11,2.83,Green Gram,1.054,0,0,1,0
4.31,63.75,19.33,19.25,47.7,5.37,58.5,Green Gram,1.146,1,0,1,0
19.49,61.28,18.1,19.24,50.54,5.67,94.28,Green Gram,0.464,1,0,1,0
7.56,75.72,16.79,22.47,62.57,5.67,23.02,Green Gram,0.209,0,0,1,0
15.9,62.65,19.79,36.75,58.26,6.08,3.25,Green Gram,0.976,0,0,1,0
37.12,72.95,15.73,29.89,66.35,6.93,2.54,Green Gram,0.505,1,0,1,0
10.42,77.5,21.68,29.38,44.82,6.84,2.31,Green Gram,1.74,0,0,1,0
19.56,55.76,21.23,29.65,42.9,6.88,4.7,Green Gram,1.919,1,0,1,0
9.45,66.54,19.64,19.54,66.35,6.15,134.09,Green Gram,0.92,1,0,1,0
35.41,64.06,24.27,20.05,48.94,4.57,81.06,Green Gram,0.886,0,0,1,0
2.78,52.68,18.76,27.91,64.71,3.69,137.89,Cowpea,0.506,1,0,1,0
23.2,59.33,24.66,27.32,51.28,4.37,5.48,Cowpea,0.486,1,0,1,0
32.45,60.12,22.79,28.66,59.32,8.4,9.36,Cowpea,1.501,0,0,1,0
3.72,38.71,17.92,29.03,61.09,8.84,33.21,Cowpea,1.193,0,0,1,0
26.47,58.19,14.9,27.78,54.65,8.15,39.35,Cowpea,1.237,1,0,1,0
30.68,39.0,23.0,32.0,54.11,5.27,39.15,Cowpea,0.829,0,0,1,0
13.07,50.1,15.03,27.34,55.28,8.05,12.2,Cowpea,1.128,0,0,1,0
4.93,38.25,18.63,28.93,53.57,9.68,9.41,Cowpea,0.869,0,0,1,0
25.78,59.27,25.23,27.65,58.6,6.97,7.44,Cowpea,0.341,1,0,1,0
10.98,49.96,24.89,28.52,55.77,7.39,6.1,Cowpea,0.998,0,0,1,0
43.57,51.11,15.76,31.02,45.89,6.69,74.04,Cowpea,0.893,0,0,1,0
35.85,52.72,25.96,25.74,45.38,7.88,7.28,Cowpea,0.465,1,0,1,0
25.43,40.06,21.24,31.7,56.85,5.88,121.93,Cowpea,1.988,0,0,1,0
24.16,40.4,19.99,24.48,58.52,8.2,10.76,Cowpea,0.791,1,0,1,0
22.61,46.86,22.27,31.47,51.8,8.99,6.2,Cowpea,0.347,1,0,1,0
29.38,62.66,18.69,25.61,50.73,5.88,80.8,Cowpea,0.922,1,0,1,0
29.89,32.95,20.77,30.3,47.18,7.71,83.26,Cowpea,0.26,1,0,1,0
0.0,55.95,23.81,28.17,43.67,4.52,51.3,Cowpea,0.675,1,0,1,0
7.34,48.26,20.2,25.51,44.83,9.93,8.22,Cowpea,0.876,1,0,1,0
16.25,62.34,25.26,31.13,43.59,6.46,74.53,Cowpea,0.807,1,0,1,0
10.22,46.3,16.34,26.34,55.59,8.02,21.14,Cowpea,1.965,0,0,1,0
23.61,47.11,22.23,28.23,61.56,3.71,80.75,Cowpea,1.008,1,0,1,0
9.72,53.48,19.94,27.04,49.33,5.49,61.2,Cowpea,0.721,0,0,1,0
29.32,45.28,15.89,25.16,55.25,9.25,21.37,Cowpea,0.478,0,0,1,0
25.42,49.8,18.48,27.32,51.67,6.01,41.72,Cowpea,0.463,1,0,1,0
33.85,55.75,20.98,25.41,49.66,7.44,45.16,Cowpea,0.478,1,0,1,0
8.18,55.64,18.46,31.22,46.02,3.81,116.4,Cowpea,1.67,1,0,1,0
24.2,35.89,19.53,30.57,58.23,5.82,4.84,Cowpea,1.567,0,0,1,0
23.48,45.84,24.37,25.43,53.22,4.52,2.75,Cowpea,0.665,1,0,1,0
32.94,38.71,24.62,27.09,43.65,3.51,85.21,Cowpea,0.478,1,0,1,0
21.65,44.2,22.74,24.31,56.33,6.03,86.41,Cowpea,1.309,1,0,1,0
16.84,40.71,21.25,30.06,45.9,5.5,41.49,Cowpea,1.026,1,0,1,0
8.71,45.6,14.75,28.1,60.98,4.61,2.72,Cowpea,0.786,1,0,1,0
7.12,55.5,22.42,26.34,40.01,5.55,82.48,Cowpea,0.232,0,0,1,0
39.46,61.11,16.08,28.61,57.14,8.29,197.09,Cowpea,1.826,0,0,1,0
10.7,40.76,18.4,28.7,44.36,3.83,4.13,Cowpea,1.438,1,0,1,0
5.87,35.57,19.85,24.22,59.79,8.87,24.34,Cowpea,1.94,0,0,1,0
17.17,51.89,20.21,28.51,45.2,3.79,6.11,Cowpea,1.764,1,0,1,0
4.32,46.89,18.22,25.98,64.96,4.19,4.6,Cowpea,0.78,0,0,1,0
8.85,51.58,15.1,30.88,41.37,7.66,35.23,Cowpea,1.777,0,0,1,0
24.99,47.93,21.65,25.5,61.67,9.39,8.28,Cowpea,0.87,1,0,1,0
37.61,44.93,19.74,25.13,51.33,4.52,33.13,Cowpea,1.375,1,0,1,0
20.19,36.73,19.98,27.11,63.57,5.79,68.04,Cowpea,0.647,1,0,1,0
38.33,52.57,19.48,31.1,44.82,7.35,9.49,Cowpea,0.38,0,0,1,0
30.06,52.67,18.53,26.46,56.4,5.99,39.6,Cowpea,1.431,1,0,1,0
31.54,45.79,19.11,30.04,63.56,8.62,14.49,Cowpea,1.248,1,0,1,0
25.19,52.03,18.73,27.78,54.82,9.46,61.32,Cowpea,0.502,1,0,1,0
9.87,45.68,24.18,30.99,43.02,8.03,44.85,Cowpea,1.055,0,0,1,0
24.94,34.44,18.31,26.49,47.37,5.41,3.82,Cowpea,0.434,0,0,1,0
9.78,62.46,22.5,31.97,57.17,6.28,57.04,Cowpea,0.818,1,0,1,0
2.94,60.33,21.38,25.36,46.83,9.16,49.76,Cowpea,1.817,0,0,1,0
20.9,44.37,23.76,25.54,56.97,7.89,40.06,Cowpea,1.766,1,0,1,0
10.82,35.22,22.15,28.99,62.86,8.18,63.52,Cowpea,1.207,1,0,1,0
38.05,32.98,23.31,29.34,60.5,9.07,85.29,Cowpea,1.41,1,0,1,0
29.51,44.83,16.6,28.64,61.39,7.7,177.29,Cowpea,1.979,0,0,1,0
27.7,39.98,14.64,24.83,44.17,5.89,38.27,Cowpea,1.568,0,0,1,0
18.69,35.27,23.05,25.45,58.55,6.16,57.95,Cowpea,1.908,0,0,1,0
3.96,50.55,15.8,31.01,62.4,3.5,64.73,Cowpea,1.195,1,0,1,0
21.34,39.83,20.27,27.06,52.3,7.39,21.76,Cowpea,1.947,0,0,1,0
37.71,59.83,23.98,27.1,42.26,8.34,7.58,Cowpea,0.713,1,0,1,0
23.35,55.87,24.67,28.57,57.31,8.66,5.99,Cowpea,1.527,0,0,1,0
38.02,53.47,15.51,28.8,49.84,3.56,8.49,Cowpea,1.398,1,0,1,0
16.63,60.94,17.86,27.94,45.41,5.96,4.93,Cowpea,1.377,1,0,1,0
26.2,60.81,18.04,30.48,61.58,9.42,5.74,Cowpea,0.368,1,0,1,0
22.77,34.4,16.36,30.58,50.77,8.18,1.91,Cowpea,1.307,0,0,1,0
9.96,39.38,18.24,26.86,41.81,5.13,29.43,Cowpea,1.815,1,0,1,0
41.48,39.92,16.52,26.31,61.19,6.29,1.6,Cowpea,1.109,0,0,1,0
20.93,36.78,25.09,28.78,44.23,7.99,2.31,Cowpea,1.623,0,0,1,0
24.35,35.24,21.15,28.9,43.35,8.92,6.55,Cowpea,0.649,1,0,1,0
43.58,48.4,20.76,29.38,57.7,6.88,163.07,Cowpea,0.589,0,0,1,0
21.34,59.3,18.58,24.17,58.25,5.24,5.4,Cowpea,0.32,0,0,1,0
2.19,52.65,23.84,26.65,59.79,7.55,62.98,Cowpea,0.946,1,0,1,0
2.71,55.23,17.6,28.2,53.51,8.71,2.49,Cowpea,1.641,0,0,1,0
27.06,48.85,25.03,28.76,52.63,7.79,8.25,Cowpea,1.596,1,0,1,0
41.2,42.06,18.58,29.35,61.25,8.06,115.67,Cowpea,0.287,1,0,1,0
24.78,61.22,18.64,28.01,52.61,4.4,8.53,Cowpea,1.87,1,0,1,0
23.65,48.84,20.01,26.86,48.82,5.95,33.77,Cowpea,1.508,1,0,1,0
6.33,39.71,18.6,31.21,40.93,8.53,4.81,Cowpea,1.323,1,0,1,0
15.55,45.53,21.82,24.2,61.43,7.22,79.16,Cowpea,0.305,1,0,1,0
26.21,48.44,22.16,29.99,49.6,4.93,104.8,Cowpea,1.681,0,0,1,0
20.56,48.28,15.38,29.94,54.62,4.63,3.9,Cowpea,1.545,1,0,1,0
34.87,57.26,22.1,31.21,41.56,5.03,4.87,Cowpea,1.122,0,0,1,0
18.21,52.77,24.45,26.8,48.24,3.53,38.93,Cowpea,0.326,1,0,1,0
31.48,43.25,19.58,31.49,62.85,8.87,8.88,Cowpea,1.144,0,0,1,0
20.41,49.5,21.46,31.0,46.43,9.41,40.86,Cowpea,1.186,1,0,1,0
10.8,41.04,21.86,29.61,63.05,5.8,136.78,Cowpea,1.44,1,0,1,0
15.61,55.89,15.35,29.98,57.03,8.35,98.39,Cowpea,0.67,1,0,1,0
36.45,51.04,21.9,30.89,52.63,8.63,71.06,Cowpea,1.459,0,0,1,0
8.39,63.81,24.59,30.39,60.16,7.7,20.14,Cowpea,1.663,1,0,1,0
40.3,46.13,17.7,30.44,55.21,5.26,170.22,Cowpea,1.194,1,0,1,0
32.88,41.62,18.5,25.33,63.18,9.11,9.63,Cowpea,1.244,1,0,1,0
14.34,57.38,16.87,30.54,59.97,4.61,59.69,Cowpea,1.929,1,0,1,0
37.36,53.66,19.45,30.38,40.59,7.12,21.08,Cowpea,0.255,0,0,1,0
16.51,38.81,23.36,24.02,53.77,7.21,25.67,Cowpea,1.244,1,0,1,0
33.46,51.31,15.87,28.7,61.15,9.94,5.79,Cowpea,0.252,0,0,1,0
4.06,53.99,21.86,29.34,49.0,8.91,2.08,Cowpea,1.655,1,0,1,0
22.36,53.71,16.86,27.97,61.35,8.64,6.87,Cowpea,0.599,0,0,1,0
32.95,46.12,16.0,24.87,48.28,8.62,24.45,Cowpea,1.33,1,0,1,0
1.88,48.6,17.07,25.88,45.96,5.84,25.94,Cowpea,0.796,1,0,1,0
15.71,53.27,22.45,31.02,49.98,3.53,13.73,Cowpea,0.431,0,0,1,0
57.85,83.49,14.66,29.48,63.2,7.45,9.47,Blackgram,0.518,0,0,1,0
27.42,56.71,22.62,26.73,68.14,7.04,24.14,Blackgram,0.308,1,0,1,0
39.43,56.48,22.6,26.27,62.29,7.42,63.93,Blackgram,1.653,1,0,1,0
41.51,75.61,25.19,34.04,67.21,6.5,24.32,Blackgram,0.41,0,0,1,0
48.08,61.37,16.96,28.04,65.07,6.81,22.8,Blackgram,0.804,0,0,1,0
50.45,58.55,16.93,28.81,65.34,7.58,54.43,Blackgram,1.257,0,0,1,0
37.78,73.53,20.53,34.04,64.29,7.74,3.64,Blackgram,0.859,1,0,1,0
28.63,58.04,21.96,33.86,61.57,6.57,15.47,Blackgram,0.737,1,0,1,0
24.34,70.08,22.46,32.84,68.68,7.54,8.29,Blackgram,1.385,1,0,1,0
50.95,71.51,17.99,27.1,63.36,6.54,20.86,Blackgram,1.596,1,0,1,0
42.04,79.92,23.99,25.66,61.18,7.22,88.94,Blackgram,1.53,1,0,1,0
53.09,64.61,25.41,32.35,66.61,7.55,170.67,Blackgram,0.851,1,0,1,0
52.22,58.73,17.68,29.59,68.32,6.93,7.33,Blackgram,0.997,1,0,1,0
53.94,62.34,21.67,30.91,68.79,7.75,6.42,Blackgram,1.065,0,0,1,0
48.52,52.77,17.65,28.13,64.21,6.71,3.43,Blackgram,1.828,1,0,1,0
37.66,64.36,15.4,30.09,69.35,6.67,76.36,Blackgram,1.594,1,0,1,0
61.83,55.66,17.37,31.74,62.51,7.33,3.48,Blackgram,1.044,0,0,1,0
45.27,53.47,22.04,27.81,62.5,7.6,186.36,Blackgram,0.443,1,0,1,0
27.2,68.22,27.47,32.89,64.59,7.71,2.04,Blackgram,1.133,1,0,1,0
19.27,62.47,17.36,29.36,64.99,7.37,8.72,Blackgram,1.523,0,0,1,0
53.9,77.13,13.82,27.83,67.59,6.92,92.85,Blackgram,0.568,1,0,1,0
26.68,69.38,22.34,28.5,60.45,7.19,42.19,Blackgram,0.418,1,0,1,0
51.07,67.66,15.79,27.74,68.54,7.08,52.85,Blackgram,1.023,1,0,1,0
43.77,64.43,16.51,30.42,67.66,6.74,6.47,Blackgram,1.342,0,0,1,0
19.37,57.37,26.67,27.33,69.09,6.73,15.34,Blackgram,1.914,1,0,1,0
46.23,61.62,20.5,30.28,61.69,6.63,1.1,Blackgram,1.687,0,0,1,0
53.11,61.67,22.81,28.57,61.53,7.13,1.71,Blackgram,1.741,0,0,1,0
46.75,55.86,13.79,25.37,66.64,7.54,195.08,Blackgram,1.048,1,0,1,0
32.95,61.32,18.25,34.95,65.27,7.16,4.15,Blackgram,0.207,1,0,1,0
21.45,68.85,23.47,25.1,67.73,6.86,102.1,Blackgram,0.879,1,0,1,0
19.17,64.99,17.33,32.48,64.35,7.4,31.31,Blackgram,1.747,0,0,1,0
22.71,69.02,19.69,33.86,68.59,6.88,42.8,Blackgram,1.184,0,0,1,0
41.63,83.24,20.07,25.2,60.37,6.58,3.49,Blackgram,0.354,1,0,1,0
50.57,68.94,15.99,31.78,69.02,7.3,43.57,Blackgram,0.342,1,0,1,0
42.82,58.42,22.69,34.9,63.6,6.97,80.29,Blackgram,1.248,1,0,1,0
26.64,80.17,17.75,31.74,68.64,7.24,176.09,Blackgram,0.819,0,0,1,0
21.1,75.82,17.81,27.16,66.76,6.92,9.22,Blackgram,1.77,0,0,1,0
53.11,59.87,16.85,26.24,67.89,7.5,24.54,Blackgram,0.469,0,0,1,0
55.78,76.07,15.97,30.2,60.07,7.15,1.13,Blackgram,1.943,1,0,1,0
44.25,73.98,14.43,31.56,67.84,7.14,5.76,Blackgram,1.481,1,0,1,0
22.43,84.05,18.24,29.68,69.09,6.81,15.45,Blackgram,1.386,1,0,1,0
46.46,80.84,19.13,27.05,67.7,7.39,24.27,Blackgram,0.517,1,0,1,0
29.16,62.34,19.46,34.64,61.39,7.7,67.63,Blackgram,1.266,1,0,1,0
57.35,82.19,20.89,33.39,62.94,6.6,105.4,Blackgram,0.379,0,0,1,0
47.86,68.95,23.56,28.84,63.37,6.73,8.15,Blackgram,1.49,1,0,1,0
32.42,80.94,19.52,31.49,63.06,6.52,40.32,Blackgram,1.382,1,0,1,0
19.7,70.38,24.6,25.55,63.95,7.71,44.47,Blackgram,0.381,0,0,1,0
51.53,60.65,16.38,34.37,69.69,6.6,66.95,Blackgram,1.08,0,0,1,0
21.24,74.78,14.79,34.6,63.11,7.4,29.3,Blackgram,1.728,1,0,1,0
54.4,74.81,16.32,29.43,64.94,7.52,7.0,Blackgram,0.585,1,0,1,0
23.55,67.11,14.61,29.11,67.91,7.18,68.92,Blackgram,0.655,1,0,1,0
34.36,77.13,21.14,28.57,65.72,6.59,3.78,Blackgram,0.673,1,0,1,0
38.4,81.15,19.63,27.54,69.35,7.14,38.07,Blackgram,1.878,1,0,1,0
33.67,81.74,22.94,33.05,68.94,6.69,22.4,Blackgram,0.52,0,0,1,0
23.32,56.5,20.26,33.95,69.96,7.42,5.67,Blackgram,0.684,1,0,1,0
20.2,70.99,17.48,30.12,60.12,6.58,6.1,Blackgram,0.324,1,0,1,0
42.63,73.1,19.44,29.58,66.18,7.5,2.38,Blackgram,0.481,0,0,1,0
46.43,78.46,21.13,27.26,68.01,7.78,8.14,Blackgram,0.328,0,0,1,0
33.37,57.48,14.91,31.36,64.25,7.32,74.19,Blackgram,1.943,1,0,1,0
19.97,72.0,15.94,31.52,66.56,7.58,9.76,Blackgram,1.904,1,0,1,0
26.2,71.35,19.59,29.4,64.26,7.11,37.89,Blackgram,0.704,1,0,1,0
39.39,66.94,15.19,29.38,64.15,7.36,7.81,Blackgram,1.156,1,0,1,0
30.6,71.31,23.25,28.39,61.89,7.41,91.68,Blackgram,0.364,0,0,1,0
32.61,58.91,14.35,28.47,63.54,6.5,9.06,Blackgram,0.432,1,0,1,0
52.23,60.76,17.16,30.64,61.15,7.17,26.7,Blackgram,1.328,1,0,1,0
53.15,74.69,24.59,25.26,61.37,7.26,6.34,Blackgram,1.999,1,0,1,0
30.86,71.46,20.45,32.97,60.18,7.59,35.21,Blackgram,1.896,1,0,1,0
52.38,70.13,15.18,33.67,66.6,7.53,7.34,Blackgram,1.073,1,0,1,0
25.08,52.28,19.65,32.84,68.0,7.25,8.72,Blackgram,1.032,1,0,1,0
42.03,58.29,24.37,27.46,62.9,6.51,3.18,Blackgram,0.636,1,0,1,0
38.4,61.32,15.56,25.69,69.84,7.12,68.73,Blackgram,0.215,0,0,1,0
47.34,78.83,21.37,30.03,64.15,7.57,24.35,Blackgram,1.993,1,0,1,0
20.15,73.12,19.97,28.21,68.27,7.35,52.46,Blackgram,1.539,0,0,1,0
59.41,73.22,15.45,28.27,61.19,7.51,2.57,Blackgram,1.987,1,0,1,0
29.39,77.63,15.77,28.54,64.2,7.03,73.95,Blackgram,0.272,0,0,1,0
41.33,55.49,21.23,26.87,61.61,6.8,41.58,Blackgram,0.994,1,0,1,0
56.13,63.59,14.16,32.8,68.78,7.16,11.07,Blackgram,1.137,1,0,1,0
40.29,59.07,14.84,26.42,64.51,7.34,7.67,Blackgram,0.531,1,0,1,0
31.48,64.9,22.57,29.79,63.39,6.62,5.75,Blackgram,1.593,1,0,1,0
50.46,63.62,16.78,27.44,67.1,6.66,36.83,Blackgram,1.684,1,0,1,0
42.69,67.28,18.03,34.13,65.15,7.73,8.39,Blackgram,1.703,0,0,1,0
56.41,62.91,15.24,30.95,64.23,7.4,4.62,Blackgram,1.976,1,0,1,0
42.02,78.3,16.44,28.76,61.03,6.6,64.15,Blackgram,1.48,0,0,1,0
57.89,79.49,16.07,27.25,66.1,7.04,170.05,Blackgram,1.921,1,0,1,0
27.2,65.68,22.24,28.63,66.77,7.35,18.72,Blackgram,0.407,1,0,1,0
24.36,57.66,18.01,26.42,63.65,7.03,39.34,Blackgram,1.318,0,0,1,0
51.05,61.09,21.23,32.82,66.16,6.81,6.71,Blackgram,1.339,0,0,1,0
45.73,54.55,23.83,29.63,65.91,7.42,6.71,Blackgram,0.78,1,0,1,0
22.02,63.73,22.58,33.49,62.73,6.85,12.32,Blackgram,0.853,1,0,1,0
61.35,53.58,20.61,31.87,66.74,7.19,30.06,Blackgram,1.388,0,0,1,0
31.69,78.24,20.19,30.33,65.63,7.01,2.27,Blackgram,1.559,0,0,1,0
61.65,54.74,17.96,28.55,66.31,7.37,2.13,Blackgram,1.838,0,0,1,0
27.53,60.8,18.23,30.03,67.89,7.26,41.54,Blackgram,1.817,1,0,1,0
54.79,64.93,16.41,31.66,60.13,6.53,51.0,Blackgram,0.623,0,0,1,0
28.81,71.14,16.11,30.33,63.55,6.87,19.91,Blackgram,1.643,0,0,1,0
58.69,79.33,15.01,33.37,65.68,6.87,5.86,Blackgram,1.766,1,0,1,0
60.23,70.02,23.84,31.43,62.99,7.76,35.83,Blackgram,0.459,1,0,1,0
43.86,76.73,22.53,27.72,63.29,6.78,57.17,Blackgram,1.054,0,0,1,0
46.96,71.01,21.63,32.64,61.3,7.33,11.94,Blackgram,0.298,0,0,1,0
34.2,67.86,26.21,32.75,67.78,7.45,1.39,Blackgram,0.857,1,0,1,0
29.9,71.95,15.41,28.05,63.5,7.6,13.1,Cowpea,1.738,0,0,1,0
13.62,65.19,22.33,19.44,63.28,7.73,2.27,Cowpea,1.273,1,0,1,0
35.95,54.31,18.01,29.85,60.64,7.49,103.57,Cowpea,0.313,1,0,1,0
10.83,68.51,15.67,21.36,69.92,6.63,72.88,Cowpea,1.45,1,0,1,0
40.14,76.22,16.35,26.29,68.52,7.32,67.83,Cowpea,1.636,1,0,1,0
26.66,72.67,16.27,22.17,62.14,6.41,81.78,Cowpea,1.925,0,0,1,0
2.16,65.05,19.1,26.58,60.98,7.84,92.17,Cowpea,1.27,1,0,1,0
6.28,55.31,19.3,26.59,66.14,6.14,4.51,Cowpea,0.537,0,0,1,0
13.19,62.77,21.11,19.13,62.58,6.59,8.04,Cowpea,0.584,1,0,1,0
8.8,52.6,16.52,28.75,69.16,7.29,36.04,Cowpea,1.906,1,0,1,0
6.25,71.14,18.91,25.79,60.28,6.06,6.21,Cowpea,1.591,1,0,1,0
